amenity,adm2_en,n
hospital,Bagamoyo,2
school,Bagamoyo,169
clinic,Bahi,39
school,Bahi,107
clinic,Chamwino,67
hospital,Chamwino,1
school,Chamwino,131
clinic,Chemba,37
school,Chemba,104
clinic,Dodoma Urban,73
hospital,Dodoma Urban,32
school,Dodoma Urban,176
school,Kibaha,52
hospital,Kibaha Urban,1
school,Kibaha Urban,53
hospital,Kisarawe,1
school,Kisarawe,95
clinic,Kondoa,42
hospital,Kondoa,9
school,Kondoa,130
clinic,Kongwa,47
hospital,Kongwa,2
school,Kongwa,135
hospital,Mafia,3
school,Mafia,34
hospital,Mkuranga,1
school,Mkuranga,143
clinic,Mpwapwa,52
hospital,Mpwapwa,8
school,Mpwapwa,154
clinic,Rufiji,2
hospital,Rufiji,1
school,Rufiji,145
